,datetime,year,month,day,value,color,type
0,2018-11-09,2018,11,09,3.8000000000000003,,PRCP
0,2018-11-10,2018,11,10,12.700000000000001,,PRCP
0,2018-11-11,2018,11,11,16.0,,PRCP
0,2018-11-12,2018,11,12,5.300000000000001,,PRCP
0,2018-11-13,2018,11,13,2.8000000000000003,,PRCP
0,2018-11-14,2018,11,14,33.0,,PRCP
0,2018-11-15,2018,11,15,6.1000000000000005,,PRCP
0,2018-11-16,2018,11,16,11.200000000000001,,PRCP
0,2018-11-17,2018,11,17,-999.9000000000001,,PRCP
0,2018-11-18,2018,11,18,-999.9000000000001,,PRCP
0,2018-11-19,2018,11,19,-999.9000000000001,,PRCP
0,2018-11-20,2018,11,20,-999.9000000000001,,PRCP
0,2018-11-21,2018,11,21,-999.9000000000001,,PRCP
0,2018-11-22,2018,11,22,-999.9000000000001,,PRCP
0,2018-11-23,2018,11,23,0.0,,PRCP
0,2018-11-24,2018,11,24,-999.9000000000001,,PRCP
0,2018-11-25,2018,11,25,0.0,,PRCP
0,2018-11-26,2018,11,26,-999.9000000000001,,PRCP
0,2018-11-27,2018,11,27,-999.9000000000001,,PRCP
0,2018-11-28,2018,11,28,-999.9000000000001,,PRCP
0,2018-11-29,2018,11,29,-999.9000000000001,,PRCP
0,2018-11-30,2018,11,30,0.0,,PRCP
0,2018-12-01,2018,12,01,3.3000000000000003,,PRCP
0,2018-12-02,2018,12,02,13.0,,PRCP
0,2018-12-03,2018,12,03,4.1000000000000005,,PRCP
0,2018-12-04,2018,12,04,1.3,,PRCP
0,2018-12-05,2018,12,05,2.3000000000000003,,PRCP
0,2018-12-06,2018,12,06,4.3,,PRCP
0,2018-12-07,2018,12,07,4.800000000000001,,PRCP
0,2018-12-08,2018,12,08,4.6000000000000005,,PRCP
0,2018-12-09,2018,12,09,5.1000000000000005,,PRCP
0,2018-12-10,2018,12,10,6.1000000000000005,,PRCP
0,2018-12-11,2018,12,11,5.1000000000000005,,PRCP
0,2018-12-12,2018,12,12,0.5,,PRCP
0,2018-12-13,2018,12,13,-999.9000000000001,,PRCP
0,2018-12-14,2018,12,14,-999.9000000000001,,PRCP
0,2018-12-15,2018,12,15,0.8,,PRCP
0,2018-12-16,2018,12,16,-999.9000000000001,,PRCP
0,2018-12-17,2018,12,17,-999.9000000000001,,PRCP
0,2018-12-18,2018,12,18,-999.9000000000001,,PRCP
0,2018-12-19,2018,12,19,5.1000000000000005,,PRCP
0,2018-12-20,2018,12,20,3.3000000000000003,,PRCP
0,2018-12-21,2018,12,21,2.8000000000000003,,PRCP
0,2018-12-22,2018,12,22,0.5,,PRCP
0,2018-12-23,2018,12,23,0.5,,PRCP
0,2018-12-24,2018,12,24,0.0,,PRCP
0,2018-12-25,2018,12,25,0.30000000000000004,,PRCP
0,2018-12-26,2018,12,26,0.8,,PRCP
0,2018-12-27,2018,12,27,2.5,,PRCP
0,2018-12-28,2018,12,28,2.0,,PRCP
0,2018-12-29,2018,12,29,4.1000000000000005,,PRCP
0,2018-12-30,2018,12,30,8.1,,PRCP
